Unnamed: 0,nameWithOwner,url,stargazers,releases,age,loc,cbo,dit,lcom
130,LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector,10772,97,4,0.0,0.0,0.0,0.0
131,permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,10753,40,6,0.0,0.0,0.0,0.0
132,zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,10715,0,2,0.0,0.0,0.0,0.0
133,Netflix/eureka,https://github.com/Netflix/eureka,10695,141,9,0.0,0.0,0.0,0.0
134,android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,10648,3,10,0.0,0.0,0.0,0.0
135,pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,10607,8,7,0.0,0.0,0.0,0.0
136,hyb1996/Auto.js,https://github.com/hyb1996/Auto.js,10433,0,4,0.0,0.0,0.0,0.0
137,google/guice,https://github.com/google/guice,10406,14,7,0.0,0.0,0.0,0.0
138,lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,10384,78,5,0.0,0.0,0.0,0.0
139,H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,10382,4,5,0.0,0.0,0.0,0.0
140,ben-manes/caffeine,https://github.com/ben-manes/caffeine,10376,55,6,0.0,0.0,0.0,0.0
141,jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,10370,14,5,0.0,0.0,0.0,0.0
142,heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,10348,0,2,0.0,0.0,0.0,0.0
143,java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,10342,18,6,0.0,0.0,0.0,0.0
144,seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,10319,0,4,0.0,0.0,0.0,0.0
145,lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,10289,65,5,0.0,0.0,0.0,0.0
146,JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10227,0,10,0.0,0.0,0.0,0.0
147,codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,10173,59,7,0.0,0.0,0.0,0.0
148,JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,10104,25,5,0.0,0.0,0.0,0.0
149,redis/jedis,https://github.com/redis/jedis,10026,49,11,0.0,0.0,0.0,0.0
150,frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,10022,0,3,0.0,0.0,0.0,0.0
151,code4craft/webmagic,https://github.com/code4craft/webmagic,10008,20,8,0.0,0.0,0.0,0.0
152,mission-peace/interview,https://github.com/mission-peace/interview,9926,0,7,0.0,0.0,0.0,0.0
153,keycloak/keycloak,https://github.com/keycloak/keycloak,9910,11,8,0.0,0.0,0.0,0.0
154,gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar,9836,0,4,0.0,0.0,0.0,0.0
155,apache/zookeeper,https://github.com/apache/zookeeper,9810,0,12,0.0,0.0,0.0,0.0
156,aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,9695,0,12,0.0,0.0,0.0,0.0
157,liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9675,8,6,0.0,0.0,0.0,0.0
158,daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,9668,0,5,0.0,0.0,0.0,0.0
159,ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,9622,0,6,0.0,0.0,0.0,0.0
160,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,9586,42,3,0.0,0.0,0.0,0.0
161,alibaba/DataX,https://github.com/alibaba/DataX,9555,0,3,0.0,0.0,0.0,0.0
162,janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,9551,3,4,0.0,0.0,0.0,0.0
163,HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9546,1,5,0.0,0.0,0.0,0.0
164,apache/pulsar,https://github.com/apache/pulsar,9534,50,5,0.0,0.0,0.0,0.0
165,macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,9498,0,2,0.0,0.0,0.0,0.0
166,pockethub/PocketHub,https://github.com/pockethub/PocketHub,9472,1,10,0.0,0.0,0.0,0.0
167,google/auto,https://github.com/google/auto,9379,51,8,0.0,0.0,0.0,0.0
168,react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,9358,142,6,0.0,0.0,0.0,0.0
169,umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9323,8,8,0.0,0.0,0.0,0.0
170,googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,9234,12,5,0.0,0.0,0.0,0.0
171,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,9182,44,4,0.0,0.0,0.0,0.0
172,perwendel/spark,https://github.com/perwendel/spark,9152,0,10,0.0,0.0,0.0,0.0
173,navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,9119,3,6,0.0,0.0,0.0,0.0
174,square/javapoet,https://github.com/square/javapoet,9115,0,8,0.0,0.0,0.0,0.0
175,paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,9078,0,3,0.0,0.0,0.0,0.0
176,clojure/clojure,https://github.com/clojure/clojure,9075,0,11,0.0,0.0,0.0,0.0
177,bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,9059,5,8,0.0,0.0,0.0,0.0
178,grpc/grpc-java,https://github.com/grpc/grpc-java,9025,96,6,0.0,0.0,0.0,0.0
179,jhy/jsoup,https://github.com/jhy/jsoup,8994,4,11,0.0,0.0,0.0,0.0
180,careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,8983,0,6,0.0,0.0,0.0,0.0
181,nathanmarz/storm,https://github.com/nathanmarz/storm,8941,0,9,0.0,0.0,0.0,0.0
182,koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,8918,55,8,0.0,0.0,0.0,0.0
183,apereo/cas,https://github.com/apereo/cas,8907,191,9,0.0,0.0,0.0,0.0
184,pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,8906,4,6,0.0,0.0,0.0,0.0
185,chefyuan/algorithm-base,https://github.com/chefyuan/algorithm-base,8877,0,0,0.0,0.0,0.0,0.0
186,termux/termux-app,https://github.com/termux/termux-app,8875,88,5,0.0,0.0,0.0,0.0
187,hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,8844,12,5,0.0,0.0,0.0,0.0
188,lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,8821,4,4,0.0,0.0,0.0,0.0
189,chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,8811,0,9,0.0,0.0,0.0,0.0
190,zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,8779,226,6,0.0,0.0,0.0,0.0
191,laobie/StatusBarUtil,https://github.com/laobie/StatusBarUtil,8686,0,5,0.0,0.0,0.0,0.0
192,DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,8633,0,5,0.0,0.0,0.0,0.0
193,chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,8625,4,7,0.0,0.0,0.0,0.0
194,lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,8616,0,6,0.0,0.0,0.0,0.0
195,didi/VirtualAPK,https://github.com/didi/VirtualAPK,8516,4,4,0.0,0.0,0.0,0.0
196,roughike/BottomBar,https://github.com/roughike/BottomBar,8453,4,5,0.0,0.0,0.0,0.0
197,Freelander/Android_Data,https://github.com/Freelander/Android_Data,8428,0,6,0.0,0.0,0.0,0.0
198,quarkusio/quarkus,https://github.com/quarkusio/quarkus,8426,136,3,0.0,0.0,0.0,0.0
199,TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,8381,13,11,0.0,0.0,0.0,0.0
200,Janseon/CardMenuView,https://github.com/Janseon/CardMenuView,282,0,5,0.0,0.0,0.0,0.0
201,johnlindquist/angularjs-plugin,https://github.com/johnlindquist/angularjs-plugin,282,0,9,0.0,0.0,0.0,0.0
202,trikita/jedux,https://github.com/trikita/jedux,282,0,5,0.0,0.0,0.0,0.0
203,JoaquimLey/avenging,https://github.com/JoaquimLey/avenging,281,1,5,0.0,0.0,0.0,0.0
204,agoncal/agoncal-book-javaee7,https://github.com/agoncal/agoncal-book-javaee7,280,0,9,0.0,0.0,0.0,0.0
205,nicolasjafelle/PagingGridView,https://github.com/nicolasjafelle/PagingGridView,280,0,7,0.0,0.0,0.0,0.0
206,TangoAgency/android-data-binding-rxjava,https://github.com/TangoAgency/android-data-binding-rxjava,280,0,4,0.0,0.0,0.0,0.0
207,RJ/irccat,https://github.com/RJ/irccat,279,0,12,0.0,0.0,0.0,0.0
208,lzyzsd/AndroidRandomColor,https://github.com/lzyzsd/AndroidRandomColor,279,0,6,0.0,0.0,0.0,0.0
209,beders/Resty,https://github.com/beders/Resty,278,0,10,0.0,0.0,0.0,0.0
210,gonjay/rubychina4android,https://github.com/gonjay/rubychina4android,278,0,7,0.0,0.0,0.0,0.0
211,captain-miao/RecyclerViewUtils,https://github.com/captain-miao/RecyclerViewUtils,278,1,7,0.0,0.0,0.0,0.0
212,gitskarios/GithubAndroidSdk,https://github.com/gitskarios/GithubAndroidSdk,278,2,6,0.0,0.0,0.0,0.0
213,xvitcoder/spring-mvc-angularjs,https://github.com/xvitcoder/spring-mvc-angularjs,278,0,8,0.0,0.0,0.0,0.0
214,ryanhoo/fir.flight,https://github.com/ryanhoo/fir.flight,276,0,5,0.0,0.0,0.0,0.0
215,ssk5460/DraggableFlipView,https://github.com/ssk5460/DraggableFlipView,276,2,5,0.0,0.0,0.0,0.0
216,pedrovgs/Nox,https://github.com/pedrovgs/Nox,276,1,6,0.0,0.0,0.0,0.0
217,JmStefanAndroid/PVCloudGroupn,https://github.com/JmStefanAndroid/PVCloudGroupn,275,0,4,0.0,0.0,0.0,0.0
218,cangwang/ModuleBus,https://github.com/cangwang/ModuleBus,275,0,4,0.0,0.0,0.0,0.0
